Connector ID,Full sentence,Gap sentence,Correct answer,Accepted alternatives,Alternative notes,Context,Difficulty,Tested skill
S04,"Wenn ich am Abend Zeit habe, lese ich ein Buch.","______ ich am Abend Zeit habe, lese ich ein Buch.",Wenn,Falls,Capitalized at start,Hobbies,Medium,Sentence-initial subordinator
S04,"Wir gehen morgen in den Zoo, wenn das Wetter schön bleibt.","Wir gehen morgen in den Zoo, ______ das Wetter schön bleibt.",wenn,falls / sofern,,Nature,Easy,Conditional link
S04,"Immer wenn Lukas seine Grossmutter besucht, bekommt er Kuchen.","Immer ______ Lukas seine Grossmutter besucht, bekommt er Kuchen.",wenn,,Repeated action marker,Family,Medium,Temporal subordinator
S04,"Du darfst das Tablet benutzen, wenn du deine Hausaufgaben fertig hast.","Du darfst das Tablet benutzen, ______ du deine Hausaufgaben fertig hast.",wenn,falls,,School & Home,Easy,Condition rule
S04,"Wenn du die Gymi-Prüfung schaffen willst, musst du regelmässig üben.","______ du die Gymi-Prüfung schaffen willst, musst du regelmässig üben.",Wenn,,Capitalized,School,Challenging,Complex conditional phrase
S05,"Als ich sechs Jahre alt war, lernte ich Velo fahren.","______ ich sechs Jahre alt war, lernte ich Velo fahren.",Als,,Single past event,Hobbies,Medium,Past time subordinator
S05,"Wir spielten gerade im Garten, als das grosse Gewitter losging.","Wir spielten gerade im Garten, ______ das grosse Gewitter losging.",als,,Interruption marker,Nature,Medium,Past time event
S05,"Als die Schule aus war, rannten alle Kinder erleichtert nach Hause.","______ die Schule aus war, rannten alle Kinder erleichtert nach Hause.",Als,,Capitalized,School,Medium,Chronological past anchor
S05,"Sie freute sich sehr, als sie die Zusage für das Gymnasium im Briefkasten fand.","Sie freute sich sehr, ______ sie die Zusage für das Gymnasium im Briefkasten fand.",als,,,School,Challenging,Complex emotional past marker
S05,"Als wir letzten Sommer in den Ferien in Graubünden waren, sahen wir einen Steinbock.","______ wir letzten Sommer in den Ferien in Graubünden waren, sahen wir einen Steinbock.",Als,,Swiss context,Travel & Nature,Challenging,Long sentence syntax
P01,Entweder gehen wir heute ins Freibad oder wir bleiben zu Hause.,______ gehen wir heute ins Freibad ______ wir bleiben zu Hause.,Entweder ... oder,,Requires two blanks,Hobbies,Medium,Paired choice clause
P01,Du kannst entweder das rote T-Shirt wählen oder du nimmst das blaue.,Du kannst ______ das rote T-Shirt wählen ______ du nimmst das blaue.,entweder ... oder,,,Everyday,Easy,Paired element linking
P01,Entweder lernen wir jetzt für Geometrie oder wir üben den Aufsatz.,______ lernen wir jetzt für Geometrie ______ wir üben den Aufsatz.,Entweder ... oder,,Capitalized first word,School,Challenging,Alternative pair structuring
P01,"Zum Frühstück trinke ich immer eines von beiden: entweder Milch oder Orangensaft.","Zum Frühstück trinke ich immer eines von beiden: ______ Milch ______ Orangensaft.",entweder ... oder,,'immer eines von beiden' forces the exclusive choice; rules out neither-nor,Everyday,Easy,Simple option framing
P01,Entweder fahren wir mit dem Tram oder wir gehen das kurze Stück zu Fuss.,______ fahren wir mit dem Tram ______ wir gehen das kurze Stück zu Fuss.,Entweder ... oder,,Zürich transport context,Travel,Medium,Paired action setup
P02,Ich habe weder meine Schulsachen eingepackt noch habe ich mein Heft dabei.,Ich habe ______ meine Schulsachen eingepackt ______ habe ich mein Heft dabei.,weder ... noch,,Note inversion after noch,School,Challenging,Double negative inversion
P02,Das Kind wollte weder Gemüse essen noch wollte es die Suppe probieren.,Das Kind wollte ______ Gemüse essen ______ wollte es die Suppe probieren.,weder ... noch,,Inversion trigger,Family,Medium,Negative addition pair
P02,Am Wochenende hatten wir weder Glück mit dem Wetter noch konnten wir wandern gehen.,Am Wochenende hatten wir ______ Glück mit dem Wetter ______ konnten wir wandern gehen.,weder ... noch,,Swiss outdoor context,Nature & Travel,Challenging,Complex double negation
P02,Lukas kann weder Französisch sprechen noch versteht er die englischen Vokabeln.,Lukas kann ______ Französisch sprechen ______ versteht er die englischen Vokabeln.,weder ... noch,,,School,Medium,Negative skill pairing
P02,"Weder mein Bruder noch meine Schwester hat den Schlüssel dabei, deshalb kommen wir nicht ins Haus.","______ mein Bruder ______ meine Schwester hat den Schlüssel dabei, deshalb kommen wir nicht ins Haus.",Weder ... noch,,Negative consequence ('kommen nicht ins Haus') rules out both-and,Family,Challenging,Sentence starter negative pair
