ID,German connector,English meaning,Type,Category,Word order rule,CEFR estimate,ZAP importance,ZAP relevance,Gap count,Commonly confused with,Notes
C01,und,and,Conjunction,Addition,Position 0 (does not affect word order),A1,★★★★★,Yes,1,,Essential for linking actions or items.
C02,aber,but / however,Conjunction,Contrast,Position 0 (does not affect word order),A1,★★★★★,Yes,1,sondern,Used for limitations. Needs a comma before it.
C03,denn,because / for,Conjunction,Reason,Position 0 (does not affect word order),A2,★★★★★,Yes,1,weil / da,Requires main clause word order (Subject + Verb right after).
C04,sondern,but (rather),Conjunction,Contrast,Position 0 (does not affect word order),A2,★★★★★,Yes,1,aber,Only used after a negative statement (nicht/kein).
C05,oder,or,Conjunction,Alternative,Position 0 (does not affect word order),A1,★★★★★,Yes,1,,Offers alternatives between choices.
S01,weil,because,Subordinating Conjunction,Reason,Verb moves to the very end of the clause,A2,★★★★★,Yes,1,denn / da,The classic ZAP trap. Verb-last structure is heavily tested.
S02,obwohl,although / even though,Subordinating Conjunction,Contrast,Verb moves to the very end of the clause,B1,★★★★★,Yes,1,trotzdem,Contrasts a fact. Commonly confused with the adverb 'trotzdem'.
S03,dass,that,Subordinating Conjunction,Complement,Verb moves to the very end of the clause,A2,★★★★★,Yes,1,das,Crucial spelling and grammar test (double 's' vs. relative pronoun).
S04,wenn,if / when,Subordinating Conjunction,Condition / Time,Verb moves to the very end of the clause,A1,★★★★★,Yes,1,als,"Used for present, future, or repeated past events."
S05,als,when (past single event),Subordinating Conjunction,Time,Verb moves to the very end of the clause,A2,★★★★★,Yes,1,wenn,Only used for a specific single event or period in the past.
S06,bevor,before,Subordinating Conjunction,Time,Verb moves to the very end of the clause,A2,★★★★,Yes,1,ehe,The action in the main clause happens first.
S07,nachdem,after,Subordinating Conjunction,Time,Verb moves to the very end of the clause,B1,★★★★,Yes,1,danach,"Often requires a change in tense (e.g., Perfekt with Präsens)."
S08,während,while / during,Subordinating Conjunction,Time / Contrast,Verb moves to the very end of the clause,B1,★★★★,Yes,1,,Simultaneous actions. Don't confuse with the preposition.
S09,bis,until,Subordinating Conjunction,Time,Verb moves to the very end of the clause,A2,★★★★,Yes,1,,Marks the end point of an action or duration.
